Question,Answer
What are the applications of Siemens SOMATOM Force?,"Cardiac imaging, oncology imaging and emergency diagnosis."
What are the features of Siemens SOMATOM Force?,"Ultra-fast scanning, low radiation exposure and AI-based reconstruction."

Tell me about GE Revolution Apex,"Device: GE Revolution Apex | Manufacturer: GE Healthcare | Accuracy: 98% | Price: ₹1.5-2.8 Crores | Technology: Deep Learning CT | Applications: Cardiology, Neurology, Trauma Imaging | Features: Deep learning reconstruction, High resolution images | Recommended for Advanced Hospitals."
What is the price of GE Revolution Apex?,"GE Revolution Apex costs between ₹1.5 crores and ₹2.8 crores."
What is the accuracy of GE Revolution Apex?,"GE Revolution Apex has 98% accuracy."
Who manufactures GE Revolution Apex?,"GE Healthcare manufactures GE Revolution Apex."
What are the features of GE Revolution Apex?,"Deep learning reconstruction and high-resolution imaging."

Tell me about Philips Incisive CT,"Device: Philips Incisive CT | Manufacturer: Philips | Accuracy: 97% | Price: ₹1.2-2.5 Crores | Technology: Spectral CT | Applications: Oncology, Neurology, Cardiology | Features: AI workflow, Fast acquisition, Dose reduction."
What is the price of Philips Incisive CT?,"Philips Incisive CT costs between ₹1.2 crores and ₹2.5 crores."
What is the accuracy of Philips Incisive CT?,"Philips Incisive CT provides 97% accuracy."
Who manufactures Philips Incisive CT?,"Philips manufactures Incisive CT."
What are the applications of Philips Incisive CT?,"Oncology, cardiology and neurological imaging."
What are the features of Philips Incisive CT?,"AI workflow and reduced radiation dose."

Tell me about Canon Aquilion Prime SP,"Device: Canon Aquilion Prime SP | Manufacturer: Canon Medical Systems | Accuracy: 97% | Price: ₹1.3-2.3 Crores | Technology: Helical CT | Applications: Chest Imaging, Abdominal Imaging | Features: Fast acquisition and reduced noise."
What is the price of Canon Aquilion Prime SP?,"Canon Aquilion Prime SP costs between ₹1.3 crores and ₹2.3 crores."
What is the accuracy of Canon Aquilion Prime SP?,"Canon Aquilion Prime SP has 97% accuracy."
Who manufactures Canon Aquilion Prime SP?,"Canon Medical Systems manufactures Aquilion Prime SP."

Tell me about Fujifilm Scenaria View,"Device: Fujifilm Scenaria View | Manufacturer: Fujifilm | Accuracy: 96% | Price: ₹1-2 Crores | Technology: Multi-slice CT | Applications: Emergency Imaging and General Diagnostics | Features: High speed imaging and compact design."
What is the price of Fujifilm Scenaria View?,"Fujifilm Scenaria View costs between ₹1 crore and ₹2 crores."
What is the accuracy of Fujifilm Scenaria View?,"Fujifilm Scenaria View has 96% accuracy."
Who manufactures Fujifilm Scenaria View?,"Fujifilm manufactures Scenaria View."

Which CT scanner has highest accuracy?,"Siemens SOMATOM Force has the highest accuracy of 99%."
Which CT scanner is cheapest?,"Fujifilm Scenaria View is the cheapest CT scanner."
Which CT scanner is most expensive?,"Siemens SOMATOM Force is the most expensive CT scanner."
Best CT scanner?,"Siemens SOMATOM Force is considered the best CT scanner because of its dual-source technology and 99% accuracy."
Highest accuracy CT machine?,"Siemens SOMATOM Force provides the highest accuracy of 99%."
Which CT scanner is recommended for hospitals?,"Siemens SOMATOM Force and GE Revolution Apex are recommended for advanced hospitals."

Tell me about Siemens MAGNETOM Vida,"Device: Siemens MAGNETOM Vida | Manufacturer: Siemens Healthineers | Accuracy: 99% | Price: ₹3-7 Crores | Technology: 3T MRI | Applications: Neurology, Cardiology, Oncology, Musculoskeletal Imaging | Features: BioMatrix Technology, High-resolution imaging, AI-assisted workflow | Recommended for Super Specialty Hospitals."

What is the price of Siemens MAGNETOM Vida?,"Siemens MAGNETOM Vida costs between ₹3 crores and ₹7 crores."

What is the accuracy of Siemens MAGNETOM Vida?,"Siemens MAGNETOM Vida provides 99% accuracy."

Who manufactures Siemens MAGNETOM Vida?,"Siemens Healthineers manufactures Siemens MAGNETOM Vida."

What are the features of Siemens MAGNETOM Vida?,"BioMatrix technology, AI workflow, and high-resolution imaging are major features."

Tell me about Philips Ingenia 3.0T,"Device: Philips Ingenia 3.0T | Manufacturer: Philips | Accuracy: 98% | Price: ₹2.5-6 Crores | Technology: 3 Tesla MRI | Applications: Neurology, Oncology, Cardiology | Features: dStream architecture, Faster scanning, High patient comfort."

What is the price of Philips Ingenia 3.0T?,"Philips Ingenia 3.0T costs between ₹2.5 crores and ₹6 crores."

What is the accuracy of Philips Ingenia 3.0T?,"Philips Ingenia 3.0T has 98% accuracy."

Who manufactures Philips Ingenia 3.0T?,"Philips manufactures Ingenia 3.0T."

What are the applications of Philips Ingenia 3.0T?,"Neurology, Oncology and Cardiology imaging."

Tell me about GE SIGNA Pioneer,"Device: GE SIGNA Pioneer | Manufacturer: GE Healthcare | Accuracy: 98% | Price: ₹2.8-6.5 Crores | Technology: 3T MRI | Applications: Neurology, Orthopedics, Cardiology | Features: AIR Recon DL, AI reconstruction, Excellent image quality."

What is the price of GE SIGNA Pioneer?,"GE SIGNA Pioneer costs between ₹2.8 crores and ₹6.5 crores."

What is the accuracy of GE SIGNA Pioneer?,"GE SIGNA Pioneer provides 98% accuracy."

Who manufactures GE SIGNA Pioneer?,"GE Healthcare manufactures GE SIGNA Pioneer."

Tell me about Canon Vantage Orian,"Device: Canon Vantage Orian | Manufacturer: Canon Medical Systems | Accuracy: 97% | Price: ₹2.5-5 Crores | Technology: 1.5T MRI | Applications: Neurology, Spine Imaging | Features: Quiet Scan technology and reduced acoustic noise."

What is the price of Canon Vantage Orian?,"Canon Vantage Orian costs between ₹2.5 crores and ₹5 crores."

What is the accuracy of Canon Vantage Orian?,"Canon Vantage Orian provides 97% accuracy."

Who manufactures Canon Vantage Orian?,"Canon Medical Systems manufactures Vantage Orian."

Tell me about Fujifilm ECHELON Smart Zero Helium,"Device: Fujifilm ECHELON Smart Zero Helium | Manufacturer: Fujifilm | Accuracy: 96% | Price: ₹2-4 Crores | Technology: Helium-free MRI | Applications: Brain Imaging, Spine Imaging | Features: Eco-friendly design, Low maintenance and compact size."

What is the price of Fujifilm ECHELON Smart Zero Helium?,"Fujifilm ECHELON Smart Zero Helium costs between ₹2 crores and ₹4 crores."

What is the accuracy of Fujifilm ECHELON Smart Zero Helium?,"Fujifilm ECHELON Smart Zero Helium provides 96% accuracy."

Who manufactures Fujifilm ECHELON Smart Zero Helium?,"Fujifilm manufactures ECHELON Smart Zero Helium."

Which MRI machine has highest accuracy?,"Siemens MAGNETOM Vida has the highest accuracy of 99%."

Which MRI machine is cheapest?,"Fujifilm ECHELON Smart Zero Helium is the cheapest MRI machine."

Which MRI machine is most expensive?,"Siemens MAGNETOM Vida is the most expensive MRI system."

Best MRI machine?,"Siemens MAGNETOM Vida is considered one of the best MRI systems because of its 99% accuracy and BioMatrix technology."

Highest accuracy MRI machine?,"Siemens MAGNETOM Vida provides the highest accuracy of 99%."

Which MRI machine is recommended for super specialty hospitals?,"Siemens MAGNETOM Vida and Philips Ingenia 3.0T are highly recommended for super specialty hospitals."

Which MRI machine has AI features?,"Siemens MAGNETOM Vida and GE SIGNA Pioneer have advanced AI-assisted imaging features."

Which MRI machine has low maintenance?,"Fujifilm ECHELON Smart Zero Helium offers low maintenance because of its helium-free design."

Which MRI machine provides high patient comfort?,"Philips Ingenia 3.0T provides excellent patient comfort with faster scanning technology."

Tell me about Philips EPIQ Elite,"Device: Philips EPIQ Elite | Manufacturer: Philips | Accuracy: 99% | Price: ₹40-90 Lakhs | Technology: Premium Ultrasound System | Applications: Cardiology, Radiology, Obstetrics and Gynecology | Features: Anatomical Intelligence Ultrasound, Elastography, High image quality | Recommended for Multi-specialty Hospitals."

What is the price of Philips EPIQ Elite?,"Philips EPIQ Elite costs between ₹40 lakhs and ₹90 lakhs."

What is the accuracy of Philips EPIQ Elite?,"Philips EPIQ Elite provides 99% accuracy."

Who manufactures Philips EPIQ Elite?,"Philips manufactures EPIQ Elite."

What are the applications of Philips EPIQ Elite?,"Cardiology, Radiology, Obstetrics and Gynecology imaging."

What are the features of Philips EPIQ Elite?,"Anatomical Intelligence Ultrasound, Elastography and excellent image quality."

Tell me about GE Voluson E10,"Device: GE Voluson E10 | Manufacturer: GE Healthcare | Accuracy: 98% | Price: ₹35-80 Lakhs | Technology: 4D Ultrasound | Applications: Obstetrics, Gynecology and Fetal Imaging | Features: HDlive technology, Real-time 4D imaging, High resolution."

What is the price of GE Voluson E10?,"GE Voluson E10 costs between ₹35 lakhs and ₹80 lakhs."

What is the accuracy of GE Voluson E10?,"GE Voluson E10 has 98% accuracy."

Who manufactures GE Voluson E10?,"GE Healthcare manufactures Voluson E10."

What are the features of GE Voluson E10?,"HDlive technology, real-time 4D imaging and high resolution are key features."

Tell me about Siemens ACUSON Sequoia,"Device: Siemens ACUSON Sequoia | Manufacturer: Siemens Healthineers | Accuracy: 98% | Price: ₹30-85 Lakhs | Technology: Advanced Ultrasound Imaging | Applications: General Imaging, Cardiology and Vascular Imaging | Features: BioAcoustic technology, AI assistance, High penetration."

What is the price of Siemens ACUSON Sequoia?,"Siemens ACUSON Sequoia costs between ₹30 lakhs and ₹85 lakhs."

What is the accuracy of Siemens ACUSON Sequoia?,"Siemens ACUSON Sequoia provides 98% accuracy."

Who manufactures Siemens ACUSON Sequoia?,"Siemens Healthineers manufactures ACUSON Sequoia."

What are the features of Siemens ACUSON Sequoia?,"BioAcoustic technology, AI support and excellent penetration are major features."

Tell me about Canon Aplio i800,"Device: Canon Aplio i800 | Manufacturer: Canon Medical Systems | Accuracy: 97% | Price: ₹25-70 Lakhs | Technology: High-end Ultrasound | Applications: Cardiology, Abdominal Imaging and Vascular Studies | Features: Superb Microvascular Imaging, Elastography, High sensitivity."

What is the price of Canon Aplio i800?,"Canon Aplio i800 costs between ₹25 lakhs and ₹70 lakhs."

What is the accuracy of Canon Aplio i800?,"Canon Aplio i800 provides 97% accuracy."

Who manufactures Canon Aplio i800?,"Canon Medical Systems manufactures Aplio i800."

Tell me about Fujifilm Arietta 850,"Device: Fujifilm Arietta 850 | Manufacturer: Fujifilm | Accuracy: 96% | Price: ₹20-60 Lakhs | Technology: Diagnostic Ultrasound System | Applications: General Imaging and Obstetrics | Features: Compact design, High sensitivity and Fast processing."

What is the price of Fujifilm Arietta 850?,"Fujifilm Arietta 850 costs between ₹20 lakhs and ₹60 lakhs."

What is the accuracy of Fujifilm Arietta 850?,"Fujifilm Arietta 850 provides 96% accuracy."

Who manufactures Fujifilm Arietta 850?,"Fujifilm manufactures Arietta 850."

Which ultrasound machine has highest accuracy?,"Philips EPIQ Elite provides the highest accuracy of 99%."

Which ultrasound machine is cheapest?,"Fujifilm Arietta 850 is the cheapest ultrasound machine."

Which ultrasound machine is most expensive?,"Philips EPIQ Elite is the most expensive ultrasound machine."

Best ultrasound machine?,"Philips EPIQ Elite is considered one of the best ultrasound machines due to its 99% accuracy and AI-based imaging."

Which ultrasound machine is recommended for fetal imaging?,"GE Voluson E10 is highly recommended for fetal imaging and obstetrics."

Which ultrasound machine has AI features?,"Siemens ACUSON Sequoia and Philips EPIQ Elite provide AI-assisted imaging."

Which ultrasound machine is best for cardiology?,"Philips EPIQ Elite and Canon Aplio i800 are highly recommended for cardiology imaging."

Which ultrasound machine provides high penetration?,"Siemens ACUSON Sequoia provides excellent penetration with BioAcoustic technology."

Which ultrasound machine has HDlive technology?,"GE Voluson E10 offers HDlive technology with real-time 4D imaging."

Highest accuracy ultrasound machine?,"Philips EPIQ Elite provides the highest accuracy of 99%."

Cheapest ultrasound machine?,"Fujifilm Arietta 850 is the cheapest ultrasound machine."

Most expensive ultrasound machine?,"Philips EPIQ Elite is the most expensive ultrasound machine."

Tell me about Philips PageWriter TC30,"Device: Philips PageWriter TC30 | Manufacturer: Philips | Accuracy: 99% | Price: ₹3-8 Lakhs | Technology: ECG Machine | Applications: Cardiology, Routine ECG Analysis | Features: Advanced STEMI analysis, Touchscreen display, Wireless connectivity | Recommended for Hospitals and Clinics."

What is the price of Philips PageWriter TC30?,"Philips PageWriter TC30 costs between ₹3 lakhs and ₹8 lakhs."

What is the accuracy of Philips PageWriter TC30?,"Philips PageWriter TC30 provides 99% accuracy."

Who manufactures Philips PageWriter TC30?,"Philips manufactures PageWriter TC30."

Tell me about Schiller Cardiovit AT-1,"Device: Schiller Cardiovit AT-1 | Manufacturer: Schiller | Accuracy: 98% | Price: ₹1.5-4 Lakhs | Technology: ECG Machine | Applications: Cardiac Diagnosis | Features: Compact design and automatic interpretation."

Tell me about BPL Cardiart 6208,"Device: BPL Cardiart 6208 | Manufacturer: BPL Medical Technologies | Accuracy: 97% | Price: ₹1-3 Lakhs | Technology: ECG Machine | Applications: Clinics and Hospitals | Features: Lightweight and easy operation."

Tell me about GE MAC 2000,"Device: GE MAC 2000 | Manufacturer: GE Healthcare | Accuracy: 98% | Price: ₹2-6 Lakhs | Technology: ECG Machine | Applications: Cardiology and Emergency Care | Features: Portable design and advanced interpretation."

Tell me about Mindray BeneHeart R12,"Device: Mindray BeneHeart R12 | Manufacturer: Mindray | Accuracy: 97% | Price: ₹1.5-5 Lakhs | Technology: ECG Machine | Applications: Cardiac Diagnostics | Features: High-speed processing and compact design."

Which ECG machine has highest accuracy?,"Philips PageWriter TC30 has the highest accuracy of 99%."

Which ECG machine is cheapest?,"BPL Cardiart 6208 is the cheapest ECG machine."

Best ECG machine?,"Philips PageWriter TC30 is considered one of the best ECG machines."

Tell me about Philips IntelliVue MX700,"Device: Philips IntelliVue MX700 | Manufacturer: Philips | Accuracy: 99% | Price: ₹5-15 Lakhs | Technology: Patient Monitor | Applications: ICU, Operation Theatre and Emergency Care | Features: Multi-parameter monitoring, Touchscreen display, Smart alarms."

What is the price of Philips IntelliVue MX700?,"Philips IntelliVue MX700 costs between ₹5 lakhs and ₹15 lakhs."

Tell me about GE CARESCAPE B650,"Device: GE CARESCAPE B650 | Manufacturer: GE Healthcare | Accuracy: 98% | Price: ₹4-12 Lakhs | Technology: Patient Monitor | Applications: ICU and Critical Care | Features: Real-time monitoring and wireless connectivity."

Tell me about Mindray BeneVision N19,"Device: Mindray BeneVision N19 | Manufacturer: Mindray | Accuracy: 98% | Price: ₹4-10 Lakhs | Technology: Patient Monitor | Applications: ICU and Emergency Care | Features: Large display and intelligent alarms."

Tell me about Nihon Kohden Life Scope G9,"Device: Nihon Kohden Life Scope G9 | Manufacturer: Nihon Kohden | Accuracy: 97% | Price: ₹4-11 Lakhs | Technology: Patient Monitor | Applications: Critical Care | Features: High accuracy and easy interface."

Tell me about Dräger Vista 120,"Device: Dräger Vista 120 | Manufacturer: Dräger | Accuracy: 96% | Price: ₹3-9 Lakhs | Technology: Patient Monitor | Applications: ICU and Wards | Features: Compact design and reliable alarms."

Which patient monitor has highest accuracy?,"Philips IntelliVue MX700 provides the highest accuracy of 99%."

Which patient monitor is cheapest?,"Dräger Vista 120 is the cheapest patient monitor."

Best patient monitor?,"Philips IntelliVue MX700 is considered one of the best patient monitors."

Which patient monitor is recommended for ICU?,"Philips IntelliVue MX700 and GE CARESCAPE B650 are highly recommended for ICU."

Which patient monitor has wireless connectivity?,"GE CARESCAPE B650 supports wireless connectivity."

Which device is best for emergency care?,"Philips IntelliVue MX700 and Mindray BeneVision N19 are excellent choices for emergency care."

Highest accuracy ECG machine?,"Philips PageWriter TC30 provides the highest accuracy of 99%."

Highest accuracy patient monitor?,"Philips IntelliVue MX700 provides the highest accuracy of 99%."

Most expensive patient monitor?,"Philips IntelliVue MX700 is the most expensive patient monitor."

Cheapest patient monitor?,"Dräger Vista 120 is the cheapest patient monitor."

Most expensive ECG machine?,"Philips PageWriter TC30 is the most expensive ECG machine."

Cheapest ECG machine?,"BPL Cardiart 6208 is the cheapest ECG machine."
